EmployeeID,Age,Education,Gender,DistanceFromHome,MaritalStatus,NumCompaniesWorked,DepartmentType,JobRole,JobLevel,JobInvolvement,JobSatisfaction,JobMonthlyIncome,BusinessTravel,JobStockOptionLevel,JobRelationshipSatisfaction,WorkEnvironmentSatisfaction,JobPercentSalaryHike,JobPerformanceRating,WorkLifeBalance,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,TrainingTimesLastYear,Attrition
E0001,41,2,Female,1,Single,8,Sales,Sales Executive,2,3,4,5993,Travel_Rarely,0,1,2,11,3,1,8,6,4,0,5,0,Yes
E0002,49,1,Male,8,Married,1,Research & Development,研究科学家,2,2,2,5130,Travel_Frequently,1,4,3,23,4,3,10,10,7,1,7,3,No
E0003,37,2,Male,2,Single,6,Research & Development,Laboratory Technician,1,2,,2090,TR,0,2,4,15,3,3,7,0,0,0,0,3,Yes
E0004,33,4,Female,3,Married,1,Research & Development,研究科学家,1,3,3,2909,Travel_Frequently,0,3,4,11,3,3,8,8,7,3,0,3,No
E0005,27,1,Male,2,Married,9,Research & Development,Laboratory Technician,1,3,2,3468,Travel_Rarely,1,4,1,12,3,3,6,2,2,2,2,3,No
E0006,32,2,Male,,Single,0,Research & Development,Laboratory Technician,1,3,4,3068,Travel_Frequently,0,3,4,13,3,2,8,7,7,3,6,2,No
E0007,-59,3,Female,3,Married,4,Research & Development,Laboratory Technician,1,4,1,2670,Travel_Rarely,3,1,3,20,4,2,-12,1,0,0,0,3,No
E0008,30,1,Male,,Divorced,1,Research & Development,Laboratory Technician,1,3,3,2693,TR,1,2,4,22,4,3,1,1,0,0,0,2,No
E0009,38,3,Male,23,Single,0,Research & Development,Manufacturing Director,3,2,3,9526,Travel_Frequently,0,2,4,21,4,,10,9,7,1,8,2,No
E0010,36,3,Male,27,Married,6,Research & Development,Healthcare Representative,2,3,3,5237,Travel_Rarely,2,2,3,13,3,,17,7,7,7,7,3,No
E0011,35,3,Male,16,Married,0,Research & Development,Laboratory Technician,1,4,2,2426,Travel_Rarely,1,3,1,13,3,,6,5,-4,0,3,5,No
E0012,29,2,Female,,Single,0,Research & Development,Laboratory Technician,2,2,3,4193,Travel_Rarely,None,4,4,12,3,3,10,9,5,0,8,3,No
E0013,31,1,Male,26,Divorced,1,Research & Development,Research Scientist,1,3,3,2911,TR,1,4,1,17,3,2,5,5,2,4,3,1,No
E0014,34,2,Male,19,Divorced,0,Research & Development,Laboratory Technician,1,3,,2661,Travel_Rarely,1,3,2,11,3,3,3,2,2,1,2,2,No
E0015,28,3,Male,24,Single,5,Research & Development,Laboratory Technician,1,2,3,2028,Travel_Rarely,0,2,3,14,3,3,6,4,2,0,3,4,Yes
E0016,29,4,Female,21,Divorced,1,Research & Development,Manufacturing Director,3,4,1,9980,Travel_Rarely,1,3,2,11,3,3,10,10,9,8,8,1,No
E0017,32,2,Male,5,Divorced,0,Research & Development,Research Scientist,1,4,2,3298,Travel_Rarely,2,4,1,12,3,2,-7,6,-2,0,5,5,No
E0018,22,2,Male,16,Divorced,1,Research & Development,Laboratory Technician,1,4,4,2935,Non-Travel,2,2,4,13,3,2,1,1,0,0,0,2,No
E0019,53,4,Female,2,Married,2,Sales,管理人员,4,2,4,15.427K,Travel_Rarely,0,3,1,16,3,,31,25,8,3,7,3,No
E0020,38,3,Male,2,Single,5,Research & Development,Research Scientist,1,3,4,3944,Travel_Rarely,0,3,4,11,3,,6,3,2,1,2,3,No
E0021,-24,2,Female,11,Divorced,0,Research & Development,Manufacturing Director,2,4,3,4011,Non-Travel,1,4,1,18,3,2,5,4,2,1,3,5,No
E0022,36,4,Male,9,Single,7,Sales,Sales Representative,1,2,1,3407,Travel_Rarely,0,2,3,23,4,,10,5,3,0,3,4,Yes
E0023,34,4,Female,7,Single,0,Research & Development,Research Director,3,3,2,11994,Travel_Rarely,0,3,1,11,3,3,13,12,6,2,11,4,No
E0024,21,2,Male,15,Single,1,Research & Development,Research Scientist,1,3,4,1.232K,Travel_Rarely,None,4,3,14,3,3,0,0,0,0,0,6,No
E0025,34,1,Male,6,Single,2,Research & Development,Research Scientist,1,3,1,2960,Travel_Rarely,None,,2,11,3,3,8,4,2,1,3,2,Yes
E0026,53,3,Female,5,Divorced,4,Research & Development,Manager,5,3,3,19094,Travel_Rarely,1,4,3,11,3,2,26,14,13,4,8,3,No
E0027,32,1,Female,16,Single,1,Research & Development,Research Scientist,1,1,1,3919,Travel_Frequently,None,2,2,22,4,,10,10,2,6,7,5,Yes
E0028,42,4,Male,8,Married,0,Sales,Sales Executive,2,3,2,6825,Travel_Rarely,1,4,3,11,3,3,10,9,7,4,2,2,No
E0029,44,4,Female,7,Married,3,Research & Development,Healthcare Representative,3,2,4,10248,Travel_Rarely,1,4,1,14,3,3,24,22,6,5,17,4,No
E0030,46,4,Female,,Single,3,Sales,管理人员,5,3,,18947,Travel_Rarely,0,4,2,12,3,2,22,2,2,2,1,2,No
E0031,33,3,Male,2,Single,4,Research & Development,Laboratory Technician,1,3,4,2496,TR,0,4,3,11,3,3,7,1,1,0,0,3,No
E0032,44,4,Male,10,Married,2,Research & Development,Healthcare Representative,2,3,4,6465,Travel_Rarely,None,4,4,13,3,4,9,4,2,1,3,5,No
E0033,30,2,Male,9,Single,1,Research & Development,Laboratory Technician,1,2,3,2206,Travel_Rarely,None,1,4,13,3,3,10,10,0,1,8,5,No
E0034,39,3,Male,5,Married,3,Sales,Sales Representative,2,3,4,2086,Travel_Rarely,1,,4,14,3,4,19,1,0,0,0,6,Yes
E0035,24,3,0,1,Married,2,Research & Development,Research Scientist,1,3,4,2293,Travel_Rarely,1,1,2,16,3,2,6,2,0,2,0,2,Yes
E0036,43,2,Female,2,Divorced,1,Research & Development,Research Scientist,1,4,3,2645,Travel_Rarely,2,4,4,12,3,2,6,5,3,1,4,3,No
E0037,50,2,Male,3,Married,1,Sales,Sales Representative,1,2,3,2683,Travel_Rarely,0,3,1,14,3,3,3,3,2,0,2,2,Yes
E0038,35,3,1,,Married,1,Sales,Sales Representative,1,3,4,2014,Travel_Rarely,0,1,4,13,3,3,2,2,2,2,2,3,No
E0039,36,4,Female,5,Married,9,Research & Development,Research Scientist,1,2,1,3.419K,Travel_Rarely,1,4,2,14,3,4,6,1,1,0,0,3,No
E0040,33,3,Female,1,Married,2,Sales,Sales Executive,2,4,1,5376,Travel_Frequently,2,1,3,19,3,3,10,5,3,1,3,3,No
E0041,35,2,Male,4,Divorced,1,Research & Development,Laboratory Technician,1,3,4,1951,Travel_Rarely,1,3,3,12,3,,1,1,0,0,0,3,No
E0042,27,4,1,2,Divorced,1,Research & Development,Laboratory Technician,1,3,1,2341,Travel_Rarely,1,4,4,13,3,3,1,1,0,0,0,6,No
E0043,26,3,Male,25,Single,1,Research & Development,Laboratory Technician,1,1,3,2293,Travel_Rarely,0,3,1,12,3,2,1,1,0,0,1,2,Yes
E0044,27,3,Male,8,Single,1,Sales,Sales Executive,3,3,3,8726,TF,0,4,4,15,3,3,9,9,8,1,7,0,No
E0045,30,2,Female,1,Single,1,Research & Development,Laboratory Technician,2,3,4,4011,Travel_Frequently,0,4,3,23,4,3,12,12,8,3,7,2,No
E0046,41,3,Female,12,Married,1,Research & Development,Research Director,5,3,3,19545,Travel_Rarely,None,4,2,12,3,3,23,22,15,15,8,0,Yes
E0047,34,4,Male,23,Single,0,Sales,Sales Executive,2,3,3,4568,Non-Travel,None,3,2,20,4,3,10,9,5,8,7,2,No
E0048,37,2,Male,19,Married,4,Research & Development,Research Scientist,1,3,2,3022,Travel_Rarely,0,1,2,21,4,3,8,1,0,0,0,1,No
E0049,46,4,Male,5,Single,4,Sales,Sales Executive,2,3,,5772,Travel_Frequently,None,3,1,21,4,,14,9,6,0,8,4,No
E0050,35,1,Male,8,Married,1,Research & Development,Laboratory Technician,1,4,4,2269,Travel_Rarely,None,4,4,19,3,3,1,1,0,0,1,2,No
E0051,48,2,Male,1,Single,9,Research & Development,Laboratory Technician,3,2,3,5381,Travel_Rarely,None,4,1,13,3,3,23,1,0,0,0,2,Yes
E0052,28,4,Male,5,Single,1,Research & Development,Laboratory Technician,1,3,3,3441,Travel_Rarely,0,3,3,13,3,2,2,2,2,2,2,3,Yes
E0053,44,5,1,1,Divorced,5,Sales,Sales Executive,2,3,1,5454,Travel_Rarely,1,3,2,21,4,2,9,4,3,1,3,2,No
E0054,35,2,Male,11,Married,2,Research & Development,Healthcare Representative,3,2,1,9884,NT,1,3,3,13,3,3,10,4,0,2,3,3,No
E0055,26,3,Female,,Married,7,Sales,Sales Executive,2,2,4,4157,Travel_Rarely,1,3,3,19,3,2,5,2,2,0,0,2,No
E0056,33,2,Female,1,Single,1,Research & Development,Research Director,3,3,4,13458,Travel_Frequently,0,3,1,12,3,3,15,15,14,8,12,1,No
E0057,35,5,0,18,Married,1,Sales,Sales Executive,3,3,1,9069,Travel_Frequently,1,4,2,22,4,2,9,9,8,1,8,3,No
E0058,35,4,Female,23,Married,3,Research & Development,Laboratory Technician,1,3,1,4014,Travel_Rarely,1,3,3,15,3,3,4,2,2,2,2,3,No
E0059,31,4,Male,7,Divorced,3,Research & Development,Laboratory Technician,2,3,4,5915,Travel_Rarely,1,4,4,22,4,2,10,7,7,1,7,3,No
E0060,37,4,Male,1,Divorced,1,Research & Development,Manufacturing Director,2,2,3,5993,Travel_Rarely,1,3,1,18,3,,7,7,5,0,7,2,No
E0061,32,3,Male,1,Married,1,Research & Development,Manufacturing Director,2,3,4,6162,Travel_Rarely,1,2,1,22,4,3,9,9,8,7,8,3,No
E0062,38,5,Female,29,Single,1,Research & Development,Laboratory Technician,2,3,,2406,Travel_Frequently,None,4,4,11,3,3,10,10,3,9,9,2,No
E0063,50,2,Female,7,Divorced,5,Research & Development,Research Director,5,2,3,18740,Travel_Rarely,1,4,2,12,3,2,29,27,3,13,8,2,No
E0064,59,3,Female,25,Single,7,Sales,Sales Executive,3,3,1,7637,Travel_Rarely,None,4,1,11,3,2,28,21,16,7,9,3,No
E0065,36,3,Female,8,Divorced,1,Research & Development,Healthcare Representative,3,3,3,10096,Travel_Rarely,3,,3,13,3,3,17,17,14,12,8,2,No
